metric,Rule-Based,LSTM,GRU
charge_count,1297.0,1259.0,1281.0
discharge_count,1314.0,1338.0,1406.0
idle_count,6149.0,6139.0,6049.0
reason_demand_charge_cut,0.0,106.0,107.0
reason_emergency_low,0.0,256.0,267.0
reason_emergency_high,0.0,25.0,25.0
reason_solar_surplus,105.0,137.0,137.0
reason_peak_cut,0.0,123.0,188.0
reason_soc_target_off_peak,0.0,866.0,877.0
reason_soc_target_mid_peak,0.0,461.0,466.0
reason_soc_target_on_peak,0.0,623.0,620.0
reason_none,6149.0,6139.0,6049.0
reason_peak_discharge,1314.0,0.0,0.0
reason_offpeak_grid_charge,1192.0,0.0,0.0
prediction_reference_pct,0.0,1.41,2.15
blocked_overcharge,71.0,0.0,0.0
blocked_overdischarge,2751.0,0.0,0.0
